donor,abbrev,regular,other,total
Japan,JPN,80472261,306400535,386872796
Norway,NOR,133235992,111032811,244268803
European Union,EU,0,238839986,238839986
United Kingdom,GBR,85470498,135597253,221067751
United States of America,USA,79083000,137664116,216747116
Sweden,SWE,84637894,105880134,190518028
Netherlands,NLD,74385511,74899947,149285458
Canada,CAN,44378699,34215520,78594219
Germany,DEU,29852136,95713549,125565685
Switzerland,CHE,62844542,53117272,115961815
Denmark,DNK,56535892,47795091,104330983
Republic of Korea,KOR,5500000,69754343,75254343
Australia,AUS,18154657,65271739,83426396
Finland,FIN,28679213,20841601,49520813
Belgium,BEL,15298013,10274175,25572188
France,FRA,17682476,6229917,23912393
Ireland,IRL,11366539,5852517,17219056
Luxembourg,LUX,4002714,10085461,14088175
Italy,ITA,5235602,4402262,9637864
New Zealand,NZL,6837607,172029,7009636
Spain,ESP,0,6713546,6713546
India,IND,4403295,0,4403295
People's Republic of China,CHN,3800000,0,3800000
